Nome,Livello,Scuola,Classi,Tempo di lancio,Gittata,Componenti,Durata,Descrizione
ACULEO MENTALE,2,Divinazione,"mago, stregone, warlock",azione,36 metri,S,"concentrazione, fino a 1 ora","L'incantatore guida un flusso di energia psionica nella mente di una creatura entro gittata che è in grado di vedere. Il bersaglio effettua un tiro salvezza su Saggezza, subendo 3d8 danni psichici in caso di fallimento, o la metà dei danni in caso di successo. Se fallisce il tiro, l'incantatore sa sempre dove si trova il bersaglio fino al termine dell'incantesimo, ma solo se entrambi si trovano sullo stesso piano di esistenza. Finché l'incantatore è in possesso di queste conoscenze, il bersaglio non può nascondersi da lui e, se è invisibile, non ottiene alcun beneficio da questa condizione contro di lui. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ld8 per ogni slot di livello superiore al 2°. AIUTO"
AIUTO,2,Abiurazione,"bardo, chierico, druido, paladino, ranger",azione,9 metri,"V, S, M (una striscia di tessuto bianco)",8 ore,L'incantatore sceglie fino a tre creature entro gittata. I punti ferita massimi e i punti ferita attuali di ogni bersa­ glio aumentano di 5 per la durata dell'incantesimo. Utilizzo di uno slot incantesimo di livello superiore. I punti ferita di ciascun bersaglio aumentano di 5 per ogni slot incantesimo di livello superiore al 2°. ALLARME
ALLARME,1,Abiurazione,"mago, ranger",1 minuto o rituale,9 metri,"V, S, M (una campanella e un filo d'argento)",8 ore,"L'incantatore predispone un allarme che segnala un'in­ trusione. Sceglie una porta, una finestra o un'area entro gittata che non sia più ampia di un cubo con spigolo di 6 metri. Fino al termine dell'incantesimo, un allarme avverte l'incantatore tutte le volte che una creatura tocca o entra nell'area protetta. Al momento del lancio dell'incantesimo, l'incantatore designa quali creature non faranno scattare l'allarme. Inoltre, sceglie se l'allarme è acustico o mentale. Allarme acustico. L'allarme produce il suono di una campanella per 10 secondi entro 18 metri dall'area protetta. Allarme mentale. Un suono nella mente avverte l'incan­ tatore se questi si trova entro 1,5 chilometri dall'area protetta. Il suono sveglia l'incantatore se sta dormendo. ALLEATO PLANARE"
ALLEATO PLANARE,6,Evocazione,chierico,10 minuti,18 metri,"V, S",istantanea,"L'incantatore chiede aiuto a un'entità ultraterrena che deve essergli nota: un dio, un principe dei demoni o qual­ che altro essere dotato di poteri cosmici. Quell'entità invia in aiuto un celestiale, un elementale o un immondo a lei fedele, che appare in uno spazio libero entro gittata. Se l'incantatore conosce il nome di una creatura specifica, può pronunciarlo quando lancia l'incantesimo per richie­ dere il suo intervento, ma potrebbe apparire comunque una creatura diversa (a scelta del DM). Quando la creatura appare, non è obbligata a compor­ tarsi in un modo particolare. L'incantatore può chiederle di svolgere per lui un servizio in cambio di pagamento, ma essa non è costretta ad accettare. Il compito richiesto potrebbe essere qualcosa di semplice (""portaci in volo oltre il baratro"" o ""aiutaci a combattere una battaglia"") o di complesso (""spia i nostri nemici"" o ""proteggici durante la nostra incursione nel dungeon""). L'incantatore deve essere in grado di comunicare con la creatura per contrat­ tare per i suoi servigi. Il pagamento può avere varie forme: Un celestiale potrebbe richiedere un'ingente donazione in oro o oggetti magici a un tempio alleato, un immondo esigere una creatura vivente in sacrificio o un tesoro in dono. Alcune creature potrebbero scambiare i propri servigi con una missione che l'incantatore deve svolgere. Un compito che può essere misurato in minuti richiede un pagamento del valore di 100 mo al minuto, un compito misurato in ore richiede 1.000 mo all'ora e un compito misurato in giorni (per un massimo di 10 giorni) richiede 10.000 mo al giorno. Il DM può modificare questi paga­ menti in base alle circostanze del lancio dell'incantesimo. Se il compito è in sintonia con l'etica della creatura, il pagamento potrebbe essere dimezzato o addirittura revocato. I compiti non pericolosi richiedono tipicamente solo la metà del pagamento suggerito, mentre quelli particolarmente rischiosi potrebbero richiedere una ricompensa superiore. È raro che una creatura accetti un compito potenzialmente suicida. Dopo aver portato a termine il compito o quando la durata pattuita termina, la creatura fa ritorno al suo piano d'origine dopo aver fatto rapporto all'incantatore, se possibile. Se l'incantatore e la creatura non riescono ad accordarsi sul prezzo del suo servizio, quest'ultima ritorna immediatamente sul suo piano d'origine. ALLUCINAZIONE DI FORZA"
ALLUCINAZIONE DI FORZA,2,Illusione,"bardo, mago, stregone",azione,18 metri,"V, S, M (un ciuffo di lana)","concentrazione, fino a 1 minuto","L'incantatore tenta di creare un'illusione nella mente di una creatura entro gittata che è in grado di vedere. Il bersaglio effettua un tiro salvezza su Intelligenza. Se lo fallisce, l'incantatore crea l'illusione di un oggetto, una creatura o un fenomeno di altra natura, che non sia più grande di un cubo con spigolo di 3 metri e che sia percepibile soltanto dal bersaglio per la durata dell'incan­ tesimo. L'allucinazione include suoni, temperature e altri stimoli analoghi. Il bersaglio può effettuare un'azione di Studio per esaminare l'allucinazione con una prova di Intelligenza (Indagare) contro la CD del tiro salvezza sull'incantesimo. Se supera la prova, il bersaglio capisce che l'allucinazione è un'illusione e l'incantesimo termina. Finché il bersaglio è influenzato dall'incantesimo, con­ sidera l'allucinazione come se fosse reale e razionalizza qualsiasi esito illogico prodotto dalle sue interazioni con essa. Ad esempio, se il bersaglio cammina attraverso un ponte illusorio e sopravvive alla caduta, crederà comunque che il ponte esista e che sia stato qualcos'altro a causare la caduta. Un bersaglio influenzato può perfino subire danni dall'illusione se l'allucinazione rappresenta una creatura pericolosa o un pericolo. In ogni turno dell'incantatore, l'allucinazione può infliggere 2d8 danni psichici al bersa­ glio se questo si trova nell'area dell'allucinazione o entro 1,5 metri da essa. Il bersaglio percepisce i danni come se fossero del tipo appropriato per l'illusione. ALLUCINAZIONE MORTALE"
ALLUCINAZIONE MORTALE,4,Illusione,"bardo, mago",azione,36 metri,"V, S","concentrazione, fino a 1 minuto","L'incantatore attinge agli incubi di una creatura entro gittata che è in grado di vedere e crea un'illusione delle sue paure più profonde, visibile solo a lei. Il bersaglio effet­ tua un tiro salvezza su Saggezza. In caso di fallimento, subisce 4dl0 danni psichici e subisce svantaggio alle prove di caratteristica e ai tiri per colpire per la durata dell'incantesimo. In caso di successo, subisce soltanto la metà di quei danni e l'incantesimo termina. Per la durata dell'incantesimo, il bersaglio effettua un tiro salvezza su Saggezza alla fine di ogni suo turno. In caso di fallimento, subisce nuovamente i danni psichici. In caso di successo, l'incantesimo termina. Utilizzo di uno slot incantesimo di livello superiore. I danni aumentano di ldlO per ogni slot di livello supe­ riore al 4°. ALTERARE SE STESSO"
ALTERARE SE STESSO,2,Trasmutazione,"mago, stregone",azione,incantatore,"V, S","concentrazione, fino a 1 ora","L'incantatore altera la propria forma fisica scegliendo tra le opzioni seguenti. Gli effetti permangono per la sua durata, durante la quale l'incantatore può effettuare un'azione di Magia per sostituire l'opzione scelta con una diversa. Adattamento acquatico. L'incantatore sviluppa le bran­ chie e una membrana tra le dita. Inoltre, può respirare sott'acqua e ottenere una velocità di nuoto pari alla sua velocità. Armi naturali. L'incantatore sviluppa artigli (taglienti), zanne (perforanti), corna (perforanti) o zoccoli (contun­ denti). Quando usa il suo colpo senz'armi per infliggere danni con l'arma naturale creata, infligge ld6 danni (del tipo indicato tra parentesi) invece di infliggere i danni normali del colpo senz'armi, usando il modificatore di caratteristica da incantatore per i tiri per colpire e per i tiri per i danni anziché quello di Forza. Cambiare aspetto. L'incantatore altera il suo aspetto: decide come apparire e definisce altezza, peso, lineamenti facciali, tono della voce, lunghezza dei capelli, carnagione e altri tratti distintivi. Può scegliere di assomigliare a un membro di un'altra specie, ma le sue statistiche non subiscono modifiche. Non può apparire come una creatura di taglia diversa e la sua forma base rimane la stessa; per esempio, se è bipede, non può usare l'incantesimo per diventare quadrupede. Per la durata dell'incantesimo, può effettuare un'azione di Magia per cambiare di nuovo il suo aspetto. AMICIZIA"
AMICIZIA,0,Ammaliamento,"bardo, mago, stregone, warlock",azione,3 metri,"S, M (un po' di trucco)","concentrazione, fino a 1 minuto","L'incantatore emana magicamente un sentimento di amicizia verso una creatura che è in grado di vedere entro gittata. Il bersaglio deve superare un tiro salvezza su Saggezza, altrimenti rimane affascinato per la durata dell'incantesimo. Il bersaglio supera automaticamente il tiro se non è un umanoide, se l'incantatore sta combat­ tendo contro di esso o se l'incantatore ha lanciato questo incantesimo sul bersaglio nelle ultime 24 ore. L'incantesimo termina in anticipo se il bersaglio subisce danni o se l'incantatore effettua un tiro per colpire, infligge danni o costringe qualcuno a effettuare un tiro salvezza. Al termine dell'incantesimo, il bersaglio capirà di essere stato affascinato dall'incantatore. AMICIZIA CON GLI ANIMALI"
AMICIZIA CON GLI ANIMALI,1,Ammaliamento,"bardo, druido, ranger",azione,9 metri,"V, S, M (un boccone di cibo)",24 ore,"L'incantatore sceglie come bersaglio una bestia entro gittata che è in grado di vedere. Il bersaglio deve superare un tiro salvezza su Saggezza, altrimenti rimane affasci­ nato per la durata dell'incantesimo. Se l'incantatore o uno dei suoi alleati infligge danni al bersaglio, l'incantesimo termina. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può scegliere come bersaglio una bestia aggiuntiva per ogni slot di livello superiore al 1°. ANATEMA"
ANATEMA,1,Ammaliamento,"bardo, chierico, warlock",azione,9 metri,"V, S, M (una goccia di sangue)","concentrazione, fino a 1 minuto","L'incantatore sceglie fino a tre creature situate entro gittata e che è in grado di vedere, ciascuna delle quali deve effettuare un tiro salvezza su Carisma. Se un bersaglio fallisce il tiro, ogni volta che effettua un tiro per colpire o un tiro salvezza prima del termine dell'incantesimo deve sottrarre ld4 da essi. Utilizzo di uno slot incantesimo di livello superiore. L'incantatore può bersagliare una creatura aggiuntiva per ogni slot di livello superiore al 1°. ANIMALE MESSAGGERO"
