Livello,Nome Incantesimo,Classi,Descrizione Base
Level 2,ACULEO MENTALE,"Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 36 metri Componenti: S Durata: concentrazione, fino a 1 ora L'incantatore guida un flusso di energia psionica nella mente di una creatura entro gittata che è in grado di vedere. Il bersaglio effettua un tiro salvezza su Saggezza, subendo 3d8 danni psichici in caso di..."
Level 1,ALLARME,"Mago, Ranger","Tempo di lancio: 1 minuto o rituale Gittata: 9 metri Componenti: V, S, M (una campanella e un filo d'argento) Durata: 8 ore L'incantatore predispone un allarme che segnala un'in­ trusione. Sceglie una porta, una finestra o un'area entro gittata che non sia più ampia di un cubo con spigolo di 6 metri..."
Level 6,ALLEATO PLANARE,Chierico,"Tempo di lancio: 10 minuti Gittata: 18 metri Componenti: V, S Durata: istantanea L'incantatore chiede aiuto a un'entità ultraterrena che deve essergli nota: un dio, un principe dei demoni o qual­ che altro essere dotato di poteri cosmici. Quell'entità invia in aiuto un celestiale, un elementale o un..."
Level 2,ALLUCINAZIONE DI FORZA,"Bardo, Mago, Stregone","Tempo di lancio: azione Gittata: 18 metri Componenti: V, S, M (un ciuffo di lana) Durata: concentrazione, fino a 1 minuto L'incantatore tenta di creare un'illusione nella mente di una creatura entro gittata che è in grado di vedere. Il bersaglio effettua un tiro salvezza su Intelligenza. Se lo falli..."
Level 4,ALLUCINAZIONE MORTALE,"Bardo, Mago","Tempo di lancio: azione Gittata: 36 metri Componenti: V, S Durata: concentrazione, fino a 1 minuto L'incantatore attinge agli incubi di una creatura entro gittata che è in grado di vedere e crea un'illusione delle sue paure più profonde, visibile solo a lei. Il bersaglio effet­ tua un tiro salvezza ..."
Level 2,ALTERARE SE STESSO,"Mago, Stregone","Tempo di lancio: azione Gittata: incantatore Componenti: V, S Durata: concentrazione, fino a 1 ora L'incantatore altera la propria forma fisica scegliendo tra le opzioni seguenti. Gli effetti permangono per la sua durata, durante la quale l'incantatore può effettuare un'azione di Magia per sostituir..."
Cantrip,AMICIZIA,"Bardo, Mago, Stregone, Warlock","Tempo di lancio: azione Gittata: 3 metri Componenti: S, M (un po' di trucco) Durata: concentrazione, fino a 1 minuto L'incantatore emana magicamente un sentimento di amicizia verso una creatura che è in grado di vedere entro gittata. Il bersaglio deve superare un tiro salvezza su Saggezza, altriment..."
Level 1,ANATEMA,"Bardo, Chierico, Warlock","Tempo di lancio: azione Gittata: 9 metri Componenti: V, S, M (una goccia di sangue) Durata: concentrazione, fino a 1 minuto L'incantatore sceglie fino a tre creature situate entro gittata e che è in grado di vedere, ciascuna delle quali deve effettuare un tiro salvezza su Carisma. Se un bersaglio fa..."
Level 2,ANIMALE MESSAGGERO,"Bardo, Druido, Ranger","Tempo di lancio: azione o rituale Gittata: 9 metri Componenti: V, S, M (un boccone di cibo) Durata: 24 ore Una bestia Minuscola a scelta entro gittata che l'incanta­ tore è in grado di vedere deve superare un tiro salvezza su Carisma, altrimenti deve cercare di consegnare un messag­ gio da parte sua..."
Level 3,ANIMARE MORTI,"Chierico, Mago","Tempo di lancio: 1 minuto Gittata: 3 metri Componenti: V, S, M (una goccia di sangue, un pezzo di carne e un pizzico di polvere d 'osso) Durata: istantanea L'incantatore sceglie una pila di ossa o un cadavere uma­ noide di taglia Media o Piccola entro gittata, animandolo come creatura non morta. Il ..."
